z,exact_sigmoid,poly_sigmoid
[ 0.26326723  1.07791786 -0.53894119],[0.56543928 0.74609976 0.36843392],[0.56477716 0.75205086 0.36090784]
[ 1.16059386  0.50033809 -1.55773196],[0.7614406  0.62253878 0.17397234],[0.76994379 0.62132945 0.07416908]
[-1.10546068 -0.36021349  0.42405031],[0.24871813 0.41090789 0.60445205],[0.20530418 0.40800032 0.6033153 ]
[-0.92075425 -0.7439388   0.35189784],[0.28480424 0.32214344 0.58707773],[0.25709461 0.30571362 0.58611698]
[ 0.70772252 -0.20764139 -0.29709132],[0.66989772 0.44827536 0.42626869],[0.66941756 0.44744293 0.42440322]
[-1.30693916 -0.5385955   0.92947316],[0.21299948 0.36851437 0.71696839],[0.14764386 0.36099985 0.71940948]
[-0.71451192  0.45352318 -0.72866443],[0.32860264 0.61147657 0.32548788],[0.31371411 0.61029555 0.30986961]
[-1.03283974 -0.64262389  0.50691304],[0.26253393 0.34465365 0.62408254],[0.22578869 0.33314955 0.62287385]
[-0.60578215 -0.79041018  0.09308784],[0.35302195 0.3120806  0.52325517],[0.34304988 0.29302623 0.52314198]
[ 3.60830393  1.53709136 -3.34865356],[0.97361715 0.8230415  0.03393928],[ 1.20677812  0.84883309 -0.5053656 ]
[ 0.29806515  0.25748018 -0.75518298],[0.57396946 0.56401676 0.31969301],[0.57318364 0.56337561 0.30264973]
[ 1.70998437 -1.03485166 -2.24656956],[0.84683426 0.26214459 0.09564578],[ 0.88363539  0.22522331 -0.13734851]
[-0.10649832 -0.2459831  -0.55816166],[0.47340056 0.43881244 0.36397292],[0.47320529 0.43759661 0.35578642]
[-0.47059629  1.06841472  0.18399493],[0.38447512 0.74429532 0.5458694 ],[0.37902901 0.74998103 0.54549092]
[1.45759085 1.42223858 0.86010244],[0.81116392 0.80568912 0.70268206],[0.83252915 0.82521821 0.70392897]
[ 1.86751413  0.49492326 -2.08429172],[0.86617038 0.62126554 0.11063298],[ 0.9145644   0.62005658 -0.08623701]
[-0.49583701 -0.38661728 -0.25108551],[0.37851949 0.40453189 0.43755634],[0.37235293 0.40110359 0.43628296]
[-1.35447421 -0.94647185  0.92515092],[0.20513986 0.27959491 0.71609048],[0.13386244 0.2499449  0.71844917]
[-0.69926211  0.80706264  0.09544321],[0.33197585 0.69148322 0.52384271],[0.31784996 0.69199541 0.52372416]
[ 0.49904522  0.64299236 -0.67239002],[0.62223493 0.65542957 0.33796188],[0.62102561 0.6545465  0.32512087]
[0.31783686 1.13647415 0.04192049],[0.57879699 0.7570317  0.51047859],[0.57794391 0.76474494 0.51045376]
[-1.82521634 -0.683032    0.96699725],[0.13880913 0.33558493 0.72452058],[-0.00627531  0.32224401  0.72772306]
[ 0.45680609  0.78267361 -0.89160741],[0.61225622 0.68625605 0.29077823],[0.61107145 0.68647973 0.26517369]
[-0.8902915  -0.19905287  0.14388166],[0.29104967 0.45040044 0.53590849],[0.26553784 0.44964245 0.53565989]
[ 0.57505557  0.9350017  -0.9703462 ],[0.6399289  0.71808892 0.2748115 ],[0.63880356 0.720637   0.24328987]
[-1.21862167 -1.12279009  0.6153078 ],[0.2281791  0.24549412 0.64915063],[0.173069   0.20039261 0.6481479 ]
[ 2.38149334  1.39152324 -2.406744  ],[0.91540515 0.80083531 0.08265988],[ 1.01030068  0.81883576 -0.18857225]
[-0.34025257 -0.56864248 -0.29976095],[0.41574812 0.36155012 0.42561592],[0.41320028 0.35298907 0.42371191]
[ 2.21252013  1.521759   -2.01909423],[0.9013682  0.82079736 0.11721268],[ 0.97970135  0.84570349 -0.06592468]
[ 0.78935797  0.89329151 -0.98235304],[0.68769346 0.70956896 0.27242514],[0.6879932  0.71135333 0.23993648]
[-1.44452109 -0.71878705  0.72619245],[0.19084621 0.32766014 0.67396918],[0.10757011 0.31255341 0.67363778]
[ 0.24864856 -0.03986882 -0.60847725],[0.56184384 0.49003411 0.35240664],[0.56123475 0.49000895 0.34232702]
[-0.79895236  0.2276226   0.41405514],[0.31024966 0.55666122 0.60205983],[0.29068704 0.55612847 0.60094216]
[-1.25739591 -0.403237    0.79262928],[0.2214225  0.40053487 0.68839561],[0.16193536 0.39675175 0.6887334 ]
[ 1.30610428  1.10669    -1.79694177],[0.78686053 0.75151151 0.14222375],[0.80093744 0.75830106 0.00232956]
[ 0.30126871  0.39680961 -1.04030059],[0.57475263 0.59792089 0.261092  ],[0.57395574 0.59684053 0.22369147]
[-1.09573556 -0.62207886  0.45672571],[0.25053977 0.3493088  0.61223714],[0.20805656 0.33867555 0.61105245]
[-0.36592146 -0.01655998 -0.17486394],[0.40952691 0.4958601  0.45639507],[0.40651116 0.49585589 0.45582535]
[ 0.53089645  0.19291544 -0.84644233],[0.62969217 0.54807984 0.30017969],[0.62849635 0.54767061 0.27764245]
[-1.22924395 -1.61509472 -3.1375074 ],[0.22631378 0.16588248 0.04158635],[ 0.1700234   0.05709836 -0.43203614]
[ 0.8494939   1.28577654 -1.19038696],[0.70046097 0.78343147 0.23318973],[0.70154888 0.79664581 0.18114794]
[-0.27478824  0.62637306 -0.09273497],[0.43173197 0.65166661 0.47683286],[0.43017031 0.65070812 0.47668726]
[-1.1515928  -0.46621794  0.4521044 ],[0.24019827 0.3855118  0.61113946],[0.19220931 0.38018513 0.60996012]
[-1.339711   -0.28056636  0.45856398],[0.20755759 0.43031493 0.61267346],[0.13814987 0.42867765 0.61148678]
[ 1.70271365 -0.8570703  -1.88882857],[0.84588882 0.29795181 0.13137809],[ 0.88218991  0.27471388 -0.02572224]
[0.24495481 0.65615324 0.14074602],[0.56093432 0.65839574 0.53512854],[0.56033866 0.65758025 0.53488936]
[0.64737763 1.71008484 1.94380814],[0.65641928 0.84684729 0.87476991],[0.65555794 0.88365536 0.92927618]
[-0.87247282 -0.89390656  0.3109207 ],[0.29474002 0.29030431 0.57710998],[0.27046366 0.26453733 0.5762801 ]
[-0.90571283 -0.32911178  0.29465267],[0.28787793 0.41845676 0.5731348 ],[0.26126706 0.41609734 0.57236086]
[ 1.91973176  1.35916769 -2.33642245],[0.87210852 0.79562439 0.08815106],[ 0.92465239  0.81208187 -0.16598866]
[-1.27497251 -0.69370608 -0.67144879],[0.21840723 0.33320915 0.33817251],[0.15687355 0.31935506 0.32537515]
[-1.35405743 -0.48893593  0.81522735],[0.20520782 0.38014427 0.6932223 ],[0.13398357 0.37418014 0.6938379 ]
[-0.69428143 -0.37988039 -0.0400244 ],[0.33308133 0.40615574 0.48999524],[0.31919924 0.40286526 0.48996987]
[-1.67859542 -0.36513946  0.90891289],[0.15728155 0.40971602 0.71277766],[0.0380859  0.40671523 0.71483638]
[ 1.48604358  1.65325711 -1.66035111],[0.81548369 0.83933077 0.15971487],[0.83838601 0.87231539 0.04356074]
[-1.49535319  0.22684999  0.58838175],[0.1831196  0.55647053 0.64299376],[0.09262049 0.55594058 0.64190254]
[ 1.46338932 -0.17709049 -2.05523494],[0.81205051 0.45584272 0.11352449],[ 0.83372471  0.45525696 -0.07716859]
[-1.24763197 -0.50229799  0.57851913],[0.22311033 0.37700079 0.64072659],[0.16474322 0.37064095 0.63960952]
[ 1.82889385  0.45898388 -1.82974269],[0.8616299  0.6127731  0.13826893],[ 0.90705067  0.61158598 -0.00765505]
[-0.68235294 -0.58814979  0.41958789],[0.33573635 0.35705949 0.60338463],[0.32242768 0.34777375 0.60225616]
[-0.76880297 -1.01214076  0.08554284],[0.3167381  0.26656111 0.52137268],[0.29893339 0.23159838 0.52127595]
[-0.99962512  0.26328394  0.47423771],[0.26901513 0.56544339 0.61638627],[0.23510496 0.56478121 0.61518591]
[ 0.6628133   0.50596944 -0.8595237 ],[0.65989207 0.62386114 0.29743887],[0.6591135  0.62265228 0.27403736]
[ 2.23968602  0.7051325  -2.80671328],[0.90375715 0.66932473 0.05696248],[ 0.9846786   0.66882495 -0.31984291]
[-1.1335713  -0.65186328  0.58084798],[0.24350263 0.34256977 0.6412625 ],[0.19733242 0.33066029 0.64015123]
[-1.57469219 -0.4038955   0.81768992],[0.17154851 0.40037676 0.69374575],[0.06913212 0.39657915 0.69439323]
[ 0.14423946  0.85598564 -0.38819022],[0.53599748 0.70182126 0.40415304],[0.53574779 0.70300574 0.40069207]
[-0.5505766  -1.06052495 -0.14514294],[0.36573064 0.25720915 0.46377783],[0.35780883 0.21799806 0.46339827]
[-0.36212552  0.38778318 -0.12104292],[0.41044513 0.59574893 0.46977616],[0.4075016  0.59469016 0.4695195 ]
[ 0.1163725   1.21752589 -0.28555722],[0.52906034 0.77162786 0.42909188],[0.52888999 0.78214593 0.42738755]
[-1.11641558 -0.26802141  0.62806434],[0.24667676 0.4333929  0.65205043],[0.20220035 0.43191712 0.65109911]
[ 2.19324233  1.14876795 -2.2990788 ],[0.89964103 0.75928581 0.09119928],[ 0.9761559   0.76739697 -0.15405615]
[-1.54202448 -0.59988841  0.73301876],[0.17624117 0.35436923 0.67546737],[0.07882629 0.34462991 0.67519494]
[-1.12983308 -0.76968821  0.23910574],[0.24419191 0.31654656 0.55949326],[0.19839389 0.29869165 0.55891886]
[ 3.65459142  2.24595112 -3.33979502],[0.97478042 0.90430071 0.03423093],[ 1.21330728  0.98582333 -0.50226222]
[-0.73063195  0.24684709  0.37878243],[0.32505607 0.56140031 0.59357941],[0.30933467 0.56079777 0.59254346]
[-0.03308946  0.24759439 -0.32612244],[0.49172839 0.56158431 0.41918439],[0.49171121 0.56097905 0.41687405]
[-1.45038584 -0.01346326  0.73277007],[0.18994219 0.49663424 0.67541285],[0.10584925 0.49663147 0.67513824]
[ 0.09552815  0.36849289 -0.30776794],[0.52386389 0.59109476 0.42365965],[0.52374515 0.59008642 0.4216372 ]
[-1.87954207 -1.76877232 -0.85688476],[0.13244148 0.14569507 0.29799062],[-0.02287569  0.01087859  0.27476504]
[-1.74005288 -0.93018757  1.03922624],[0.14930622 0.28288666 0.73870068],[0.01957002 0.25447437 0.74360669]
[-1.9707678  -0.86700348  1.21292647],[0.12230644 0.2958782  0.77081634],[-0.05095084  0.2719737   0.78116376]
[-0.25570878 -0.20721177 -0.05274415],[0.43641888 0.44838162 0.48681702],[0.435092   0.44755301 0.48677223]
[-0.31766027  0.72225374 -0.29866368],[0.42124606 0.67310311 0.42588419],[0.41907131 0.67273868 0.42399608]
[ 2.22621302  0.5899596  -2.43551508],[0.90257888 0.64335587 0.08050428],[ 0.98221289  0.64226911 -0.19785478]
[-0.52354823  0.38433096  0.01821805],[0.37202291 0.59491725 0.50455439],[0.3650014  0.59386709 0.50454953]
[-1.13638784 -0.81601129  0.69978351],[0.24298418 0.30661101 0.66813977],[0.19653238 0.28600906 0.66760042]
[ 0.7964364   0.37116279 -1.42168254],[0.68921168 0.59173992 0.19439795],[0.68959444 0.59072427 0.11426165]
[ 0.01318361  0.53673837 -0.47042624],[0.50329585 0.63105335 0.38451536],[0.50329329 0.62986327 0.37907393]
[-0.94724982 -0.73117938  0.1998657 ],[0.27943824 0.32493597 0.54980076],[0.24972831 0.30918581 0.54936723]
[-2.08508135 -1.14705472  1.23446782],[0.11055531 0.24102746 0.77459959],[-0.0864838   0.1935003   0.78575829]
[-0.02024654  0.91702264 -0.17090419],[0.49493854 0.71443506 0.45737765],[0.49493222 0.7166417  0.45683583]
[-0.856708   -0.43809081  0.07949512],[0.2980276  0.39219599 0.51986332],[0.27481377 0.38759844 0.51977899]
[ 1.59834538  0.77040892 -2.02571531],[0.831787   0.68360935 0.11652931],[ 0.86126573  0.68369928 -0.06798166]
[-0.79252144 -0.97150946  0.07913857],[0.31162752 0.27457974 0.51977432],[0.29244829 0.24296517 0.5196907 ]
[-1.07048145 -0.52898301  0.26177019],[0.25531154 0.37075412 0.56507139],[0.21519068 0.3635569  0.56441469]
[-0.91625916  0.500835    1.38620633],[0.28572073 0.62265554 0.79998591],[0.25834225 0.62144622 0.81772806]
[ 0.61551311  1.2036254  -0.99648761],[0.64919739 0.76916909 0.26963256],[0.64819543 0.77917564 0.23598328]
[-0.751669   -0.88216337  0.21197581],[0.32045774 0.29272968 0.5527964 ],[0.30360766 0.26778597 0.55231995]
[-0.73702625  0.89456145  0.20049038],[0.32365476 0.7098306  0.54995537],[0.30759532 0.71163676 0.54951965]
[-1.28668143 -0.38346486  0.55013948],[0.21641504 0.40529149 0.63416795],[0.1534964  0.40192811 0.63299507]
[-2.56045235 -1.59724994 -0.09131544],[0.07172742 0.16836632 0.47718699],[-0.23845183  0.0624194   0.47704606]
[ 0.43174832  0.51232416 -0.53428318],[0.60629107 0.62535115 0.36951846],[0.60514098 0.6241439  0.36214733]
[ 1.00978316  0.24132372 -1.19296212],[0.73297771 0.56003983 0.23272958],[0.73715086 0.55945737 0.18041209]
[ 0.50658173  0.82294238 -0.47793813],[0.62400481 0.69486057 0.38273912],[0.62279606 0.69557708 0.37708909]
[ 2.25011694  1.25291335 -1.9952001 ],[0.90466062 0.77780377 0.1197078 ],[ 0.98658384  0.78968146 -0.05851238]
[-0.49699235 -0.01691241  0.05124027],[0.37824774 0.495772   0.51280726],[0.37204689 0.49576761 0.51277068]
[ 3.65888131  2.45568731 -3.60737985],[0.97488566 0.92097636 0.0264066 ],[ 1.21390914  1.02346583 -0.5970428 ]
[ 0.70564631 -0.11732981 -2.0816397 ],[0.66943844 0.47070115 0.11089419],[ 0.66894253  0.47046105 -0.08540828]
[-0.57723783 -0.37306285 -0.70141487],[0.35956842 0.40780114 0.33149861],[0.35069249 0.40464665 0.31726654]
[-1.08836485 -0.84496451  0.44139089],[0.25192631 0.30049023 0.6085904 ],[0.21014072 0.2780494  0.60742533]
[ 0.0924817   0.68228075 -0.36141498],[0.52310396 0.66424755 0.41061708],[0.52299213 0.66358758 0.40768694]
[-0.18919459  0.38975586 -0.52686898],[0.45284194 0.59622393 0.37124745],[0.45216443 0.59516032 0.36411889]
[-1.34186357 -0.12516956  0.84560317],[0.20720376 0.4687484  0.69964399],[0.13752514 0.4684726  0.70067512]
[-1.0200299   0.16634948  0.60446006],[0.26502158 0.54149173 0.64667603],[0.22938561 0.54117229 0.64563444]
[-0.87975414 -0.09059692  0.55965883],[0.29322873 0.47736625 0.6363736 ],[0.26845195 0.47722765 0.63521644]
[ 0.11714238  0.85266923 -0.14042917],[0.52925215 0.70112677 0.46495029],[0.52907976 0.70226164 0.4645969 ]
[ 0.79681997  0.19808465 -1.13389097],[0.68929383 0.54935987 0.24344375],[0.68968116 0.5489326  0.19724163]
[ 2.92883945  0.23997652 -3.14889181],[0.9492538  0.55970786 0.04113497],[ 1.10353835  0.5591303  -0.43595575]
[ 0.09642896  0.1702806  -0.39138615],[0.52408858 0.54246759 0.40338366],[0.52396776 0.54213522 0.39985571]
[-1.08990888 -0.68637489  0.48867967],[0.25163544 0.33483998 0.61979535],[0.20970426 0.32133962 0.6185878 ]
[ 2.07963294  1.11086591 -2.33749399],[0.88890779 0.75229051 0.08806496],[ 0.95503514  0.75920613 -0.16633167]
[ 3.0354866   0.06617517 -2.95936692],[0.95415179 0.51653776 0.04929567],[ 1.12065897  0.5164781  -0.37120952]
[-1.62071344 -1.08749088  0.83682086],[0.1651065  0.25209106 0.69779523],[0.05542096 0.21038773 0.69870118]
[-0.8050937  -0.36241314  0.08755126],[0.30893698 0.41037554 0.52187384],[0.28900394 0.40742657 0.52177284]
[ 0.69329434  0.358833   -0.89117553],[0.66669937 0.58875791 0.2908673 ],[0.66611373 0.58777683 0.26529321]
[-1.02506879  0.01811595  0.86193015],[0.26404124 0.50452886 0.70306376],[0.22797131 0.50452406 0.70433868]
[-0.0999709   0.16446752 -0.40997349],[0.47502807 0.54102445 0.39891848],[0.47485736 0.54071114 0.39498545]
[ 2.44226326  1.58492267 -2.38123444],[0.91999383 0.82990056 0.0846149 ],[ 1.02109607  0.85855097 -0.18036277]
[ 1.13636992  0.65012855 -1.29490614],[0.75701253 0.65703943 0.21502355],[0.76472243 0.65619213 0.15112174]
[ 0.58007282  0.39070275 -0.59973004],[0.64108416 0.59645186 0.35440546],[0.63997094 0.59538596 0.34467235]
[-0.61713796  0.15889284  0.04971516],[0.35043266 0.53963985 0.51242623],[0.34000262 0.53934451 0.51239172]
[-0.54068867 -0.62503525 -0.15012014],[0.3680274  0.34863713 0.46254029],[0.36044267 0.33788115 0.46213192]
[-1.46306277 -0.54445664  0.81130325],[0.18799933 0.36715147 0.69238715],[0.10212602 0.35943935 0.69295262]
[-1.00145129 -1.29993744  0.62345324],[0.26865618 0.21417555 0.65100353],[0.23459361 0.14966808 0.6500329 ]
[ 0.91414343  0.76882299 -1.56929508],[0.71384729 0.68326623 0.17231691],[0.71600098 0.68333942 0.07073592]
[-0.54640677  0.24557627  0.17993344],[0.36669847 0.56108737 0.54486239],[0.3589199  0.56048945 0.54449772]
[ 0.19669946  1.61902065 -0.7808189 ],[0.54901692 0.83466002 0.31414342],[0.5485945  0.86543675 0.2956501 ]
[ 0.36289329  1.14775529 -0.72206569],[0.58974064 0.75910067 0.32693827],[0.58874795 0.76717869 0.3116629 ]
[-1.60636204 -0.55835367  0.70550508],[0.16709431 0.36392848 0.66940719],[0.05970351 0.3557352  0.66891021]
[-1.45698174 -0.61578042  0.76046562],[0.18892939 0.35074174 0.68145482],[0.10391263 0.34036711 0.68144179]
